ecg,gsr,temp,hr,spo2,timest,second
1.7351,0.4985,31.3,0,0,298152,0.792
1.7351,0.5083,31.25,0,0,298156,0.795
1.7498,0.4985,31.28,0,0,298160,0.798
1.7449,0.4985,31.3,0,0,298163,0.801
1.7498,0.4985,31.28,0,0,298166,0.804
1.7546,0.4985,31.3,0,0,298169,0.807
1.7449,0.4985,31.28,0,0,298172,0.81
1.7546,0.4985,31.3,0,0,298176,0.813
1.7595,0.4985,31.28,0,0,298179,0.816
1.7644,0.4985,31.28,0,0,298182,0.819
1.7644,0.4985,31.25,0,0,298185,0.822
1.7693,0.4888,31.28,0,0,298188,0.825
1.7693,0.4985,31.28,0,0,298192,0.828
1.784,0.4985,31.25,0,0,298195,0.831
1.7889,0.4888,31.28,0,0,298199,0.834
1.7937,0.4936,31.3,0,0,298202,0.837
1.7937,0.4985,31.3,0,0,298205,0.84
1.7937,0.4985,31.28,0,0,298209,0.843
1.7889,0.4985,31.28,0,0,298212,0.846
1.7986,0.4985,31.3,0,0,298215,0.849
1.8133,0.4985,31.3,0,0,298218,0.852
1.8377,0.5279,31.28,0,0,298221,0.855
1.8719,0.4985,31.3,0,0,298225,0.858
1.9013,0.4985,31.28,0,0,298228,0.861
1.955,0.4936,31.28,0,0,298231,0.864
1.9355,0.4936,31.3,0,0,298234,0.867
1.9404,0.4985,31.28,0,0,298237,0.87
1.9404,0.5083,31.3,0,0,298242,0.873
1.9257,0.4985,31.28,0,0,298245,0.876
1.911,0.4985,31.28,0,0,298248,0.879
1.9013,0.4985,31.25,0,0,298251,0.882
1.8768,0.5034,31.28,0,0,298254,0.885
1.8573,0.4936,31.28,0,0,298258,0.888
1.828,0.4985,31.3,0,0,298261,0.891
1.8084,0.4936,31.3,0,0,298264,0.894
1.7889,0.4985,31.28,0,0,298267,0.897
1.7742,0.4936,31.3,0,0,298270,0.9
1.7644,0.4985,31.33,0,0,298274,0.903
1.7546,0.5034,31.28,0,0,298277,0.906
1.7546,0.4936,31.28,0,0,298280,0.909
1.7498,0.4985,31.09,0,0,298284,0.912
1.7449,0.523,31.28,0,0,298287,0.915
1.7693,0.4985,31.28,0,0,298291,0.918
1.7449,0.4985,31.28,0,0,298294,0.921
1.7449,0.5083,31.28,0,0,298297,0.924
1.7498,0.4936,31.3,0,0,298300,0.927
1.7595,0.4985,31.3,0,0,298303,0.93
1.7595,0.4936,31.28,0,0,298307,0.933
1.7449,0.4985,31.28,0,0,298310,0.936
1.7155,0.4985,31.3,0,0,298313,0.939
1.652,0.4985,31.3,0,0,298316,0.942
1.5885,0.4985,31.28,0,0,298319,0.945
1.5787,0.4985,31.28,0,0,298323,0.948
1.6471,0.4985,31.3,0,0,298327,0.951
1.8133,0.523,31.28,0,0,298330,0.954
2.0919,0.4985,31.28,0,0,298333,0.957
2.5073,0.4985,31.3,0,0,298336,0.96
3.1232,0.4985,31.25,0,0,298340,0.963
